probIn scale
0.5512611 0.000291755
0.5173365 0.0002937815
0.4745555 0.0003010891
0.4654417 0.0002895318
0.480611 0.0002968742
0.504452 0.0002908715
0.5098397 0.0002890882
0.5081569 0.0002866256
0.5044855 0.0002830659
0.5583532 0.0002815924
0.5361976 0.0002768157
0.5566249 0.0002717796
0.5821549 0.0002698648
0.5932216 0.0002724044
0.5980454 0.0002661623
0.6086565 0.0002627257
0.6418816 0.0002684528
0.6593213 0.0002594822
0.6723659 0.0002520132
0.6914768 0.0002483891
0.6638936 0.0002527162
0.6368748 0.0002448311
0.6148186 0.0002509935
0.6140115 0.0002516955
0.6127443 0.0002542962
0.6030332 0.0002584509
0.6041289 0.0002639244
0.6151855 0.0002596429
0.5991803 0.000259645
0.5880064 0.0002703402
0.5820501 0.0002654936
0.5814735 0.0002685337
0.5824276 0.0002701497
0.5858104 0.0002722952
0.5891469 0.0002635393
0.5684942 0.0002708715
0.5664553 0.0002712234
0.5659614 0.0002716841
0.5602461 0.0002716004
0.552437 0.0002720502
0.5679382 0.0002766857
0.5426931 0.0002698155
0.5635395 0.0002710911
0.567808 0.0002836511
0.5725606 0.0002736042
0.5701801 0.0002774513
0.5433358 0.0002852723
0.5354153 0.0002966964
0.5198614 0.0003071727
0.5020707 0.0003049721
0.5344862 0.000291229
0.561896 0.0003038938
0.5113736 0.0002989932
0.5354457 0.0002917092
0.5862931 0.000293558
0.5210624 0.0002972415
0.4594904 0.0003015976
0.4918009 0.0003051302
0.5061998 0.000305509
0.5016528 0.0003072873
0.5020407 0.0002995788
0.4976675 0.0003116173
0.514179 0.0003093205
0.5415533 0.0003168657
0.5755816 0.0003121407
0.5556582 0.0002959271
0.5514377 0.0002891682
0.5725128 0.0002768646
0.5761169 0.0002755875
0.5539116 0.000279495
0.5469754 0.0002769975
0.5584459 0.0002666059
0.5815308 0.0002582436
0.5933341 0.0002533204
0.6457735 0.0002424626
0.6600503 0.0002438531
0.6871714 0.000241142
0.6817912 0.0002354871
0.6609049 0.000225945
0.6912141 0.0002093678
0.7203999 0.0002066944
0.7612336 0.0002037023
0.7490443 0.0002067139
0.7526186 0.000205406
0.7303822 0.0002002596
0.7185177 0.0001971424
0.699921 0.000199131
0.7189972 0.0002003987
0.7458834 0.0001907542
0.7647053 0.000185674
0.7580248 0.0001898574
0.7694378 0.000192093
0.7648646 0.0001940296
0.7675907 0.0001963242
0.7510195 0.0001815846
0.7422955 0.0001749111
0.7376827 0.0001760734
0.7449857 0.0001740753
0.7175364 0.0001700686
0.7506819 0.0001712869
0.6888107 0.0001682823
0.6724681 0.0001743059
0.6946784 0.0001738946
0.7107644 0.0001743854
0.6649256 0.0001730837
0.6492484 0.0001760578
0.6264394 0.0001844101
0.627872 0.0001807019
0.6373156 0.0001750525
0.6122221 0.0001761452
0.5958633 0.0001664712
0.6016674 0.0001634595
0.6169414 0.0001565876
0.6208315 0.0001525392
0.6100954 0.0001561745
0.6233388 0.00015233
0.6352455 0.0001512958
0.6477917 0.0001608834
0.6403718 0.0001629478
0.6793333 0.0001630803
0.6705104 0.0001681609
0.6740526 0.0001709161
0.6575189 0.0001644828
0.6392524 0.0001623355
0.6250944 0.0001654215
0.6356455 0.0001731207
0.6792148 0.0001676384
0.7111277 0.0001607654
0.7225367 0.0001601146
0.7260068 0.0001538885
0.7244228 0.0001570052
0.7070879 0.0001590441
0.735302 0.0001573172
0.7325859 0.0001552148
0.7266883 0.0001517447
0.7499728 0.0001543541
0.7489817 0.0001561968
0.7806542 0.0001537391
0.8044848 0.0001581
0.7997198 0.0001526314
0.799449 0.0001609634
0.8088118 0.0001585325
0.8209768 0.0001634842
0.8536466 0.0001640785
0.8219367 0.000160512
0.8327003 0.0001563753
0.8202398 0.0001669431
0.7996332 0.0001644941
0.7959071 0.0001578964
